12/14/2022,Cleveland Cavaliers,Dallas Mavericks
12/14/2022,Washington Wizards,Denver Nuggets
12/14/2022,Minnesota Timberwolves,Los Angeles Clippers
12/15/2022,Miami Heat,Houston Rockets
12/15/2022,Milwaukee Bucks,Memphis Grizzlies
12/15/2022,New Orleans Pelicans,Utah Jazz
12/15/2022,Phoenix Suns,Los Angeles Clippers
12/16/2022,Atlanta Hawks,Charlotte Hornets
12/16/2022,Sacramento Kings,Detroit Pistons
12/16/2022,Orlando Magic,Boston Celtics
12/16/2022,Indiana Pacers,Cleveland Cavaliers
12/16/2022,Golden State Warriors,Philadelphia 76ers
12/16/2022,Brooklyn Nets,Toronto Raptors
12/16/2022,New York Knicks,Chicago Bulls
12/16/2022,Minnesota Timberwolves,Oklahoma City Thunder
12/16/2022,Portland Trail Blazers,Dallas Mavericks
12/16/2022,Denver Nuggets,Los Angeles Lakers
12/17/2022,Washington Wizards,Los Angeles Clippers
12/17/2022,Miami Heat,San Antonio Spurs
12/17/2022,Dallas Mavericks,Cleveland Cavaliers
12/17/2022,Portland Trail Blazers,Houston Rockets
12/17/2022,Utah Jazz,Milwaukee Bucks
12/17/2022,Memphis Grizzlies,Oklahoma City Thunder
12/17/2022,New Orleans Pelicans,Phoenix Suns
12/18/2022,Orlando Magic,Boston Celtics
12/18/2022,New York Knicks,Indiana Pacers
12/18/2022,Brooklyn Nets,Detroit Pistons
12/18/2022,Golden State Warriors,Toronto Raptors
12/18/2022,Chicago Bulls,Minnesota Timberwolves
12/18/2022,Charlotte Hornets,Denver Nuggets
12/18/2022,Washington Wizards,Los Angeles Lakers
12/19/2022,Utah Jazz,Cleveland Cavaliers
12/19/2022,Toronto Raptors,Philadelphia 76ers
12/19/2022,Orlando Magic,Atlanta Hawks
12/19/2022,San Antonio Spurs,Houston Rockets
12/19/2022,Dallas Mavericks,Minnesota Timberwolves
12/19/2022,Milwaukee Bucks,New Orleans Pelicans
12/19/2022,Portland Trail Blazers,Oklahoma City Thunder
12/19/2022,Los Angeles Lakers,Phoenix Suns
12/19/2022,Charlotte Hornets,Sacramento Kings
12/20/2022,Utah Jazz,Detroit Pistons
12/20/2022,Chicago Bulls,Miami Heat
12/20/2022,Golden State Warriors,New York Knicks
12/20/2022,Washington Wizards,Phoenix Suns
12/20/2022,Memphis Grizzlies,Denver Nuggets
12/21/2022,Milwaukee Bucks,Cleveland Cavaliers
12/21/2022,Detroit Pistons,Philadelphia 76ers
12/21/2022,Chicago Bulls,Atlanta Hawks
12/21/2022,Indiana Pacers,Boston Celtics
12/21/2022,Golden State Warriors,Brooklyn Nets
12/21/2022,Toronto Raptors,New York Knicks
12/21/2022,Orlando Magic,Houston Rockets
12/21/2022,Dallas Mavericks,Minnesota Timberwolves
12/21/2022,Portland Trail Blazers,Oklahoma City Thunder
12/21/2022,Los Angeles Lakers,Sacramento Kings
12/21/2022,Charlotte Hornets,Los Angeles Clippers
12/22/2022,San Antonio Spurs,New Orleans Pelicans
12/22/2022,Washington Wizards,Utah Jazz
12/23/2022,San Antonio Spurs,Orlando Magic
12/23/2022,Los Angeles Clippers,Philadelphia 76ers
12/23/2022,Detroit Pistons,Atlanta Hawks
12/23/2022,Minnesota Timberwolves,Boston Celtics
12/23/2022,Milwaukee Bucks,Brooklyn Nets
12/23/2022,Toronto Raptors,Cleveland Cavaliers
12/23/2022,Chicago Bulls,New York Knicks
12/23/2022,Dallas Mavericks,Houston Rockets
12/23/2022,Indiana Pacers,Miami Heat
12/23/2022,New Orleans Pelicans,Oklahoma City Thunder
12/23/2022,Portland Trail Blazers,Denver Nuggets
12/23/2022,Memphis Grizzlies,Phoenix Suns
12/23/2022,Washington Wizards,Sacramento Kings
12/23/2022,Charlotte Hornets,Los Angeles Lakers
12/25/2022,Philadelphia 76ers,New York Knicks
12/25/2022,Los Angeles Lakers,Dallas Mavericks
12/25/2022,Milwaukee Bucks,Boston Celtics
12/25/2022,Memphis Grizzlies,Golden State Warriors
12/25/2022,Phoenix Suns,Denver Nuggets
12/26/2022,Brooklyn Nets,Cleveland Cavaliers
12/26/2022,Los Angeles Clippers,Detroit Pistons
12/26/2022,Minnesota Timberwolves,Miami Heat
12/26/2022,Houston Rockets,Chicago Bulls
12/26/2022,Indiana Pacers,New Orleans Pelicans
12/26/2022,Utah Jazz,San Antonio Spurs
12/26/2022,Charlotte Hornets,Portland Trail Blazers
12/27/2022,Los Angeles Lakers,Orlando Magic
12/27/2022,Philadelphia 76ers,Washington Wizards
12/27/2022,Houston Rockets,Boston Celtics
12/27/2022,Atlanta Hawks,Indiana Pacers
12/27/2022,Los Angeles Clippers,Toronto Raptors
12/27/2022,Phoenix Suns,Memphis Grizzlies
12/27/2022,San Antonio Spurs,Oklahoma City Thunder
12/27/2022,New York Knicks,Dallas Mavericks
12/27/2022,Charlotte Hornets,Golden State Warriors
12/27/2022,Denver Nuggets,Sacramento Kings
12/28/2022,Orlando Magic,Detroit Pistons
12/28/2022,Phoenix Suns,Washington Wizards
12/28/2022,Brooklyn Nets,Atlanta Hawks
12/28/2022,Los Angeles Lakers,Miami Heat
12/28/2022,Milwaukee Bucks,Chicago Bulls
12/28/2022,Minnesota Timberwolves,New Orleans Pelicans
12/28/2022,Utah Jazz,Golden State Warriors
12/28/2022,Denver Nuggets,Sacramento Kings
12/29/2022,Oklahoma City Thunder,Charlotte Hornets
12/29/2022,Cleveland Cavaliers,Indiana Pacers
12/29/2022,Los Angeles Clippers,Boston Celtics
12/29/2022,Memphis Grizzlies,Toronto Raptors
12/29/2022,New York Knicks,San Antonio Spurs
12/29/2022,Houston Rockets,Dallas Mavericks
12/30/2022,Washington Wizards,Orlando Magic
12/30/2022,Los Angeles Lakers,Atlanta Hawks
12/30/2022,Phoenix Suns,Toronto Raptors
12/30/2022,Detroit Pistons,Chicago Bulls
12/30/2022,Minnesota Timberwolves,Milwaukee Bucks
